dia,mes,ano,hora,temp,hum,data
23.0,9.0,2021.0,14.0,25.716666666666665,21.083333333333332,23-9-2021 14
23.0,9.0,2021.0,15.0,24.6,23.566666666666666,23-9-2021 15
23.0,9.0,2021.0,16.0,22.316666666666666,30.366666666666667,23-9-2021 16
23.0,9.0,2021.0,17.0,19.583333333333332,38.9,23-9-2021 17
23.0,9.0,2021.0,18.0,18.133333333333333,43.9,23-9-2021 18
23.0,9.0,2021.0,19.0,18.0,45.93333333333333,23-9-2021 19
23.0,9.0,2021.0,20.0,17.6,47.18333333333333,23-9-2021 20
23.0,9.0,2021.0,21.0,17.0,47.65,23-9-2021 21
23.0,9.0,2021.0,22.0,16.233333333333334,49.55,23-9-2021 22
23.0,9.0,2021.0,23.0,16.0,51.63333333333333,23-9-2021 23
24.0,9.0,2021.0,0.0,15.95,53.583333333333336,24-9-2021 0
24.0,9.0,2021.0,1.0,15.016666666666667,56.483333333333334,24-9-2021 1
24.0,9.0,2021.0,2.0,14.866666666666667,58.55,24-9-2021 2
24.0,9.0,2021.0,3.0,14.066666666666666,60.06666666666667,24-9-2021 3
24.0,9.0,2021.0,4.0,14.0,60.7,24-9-2021 4
24.0,9.0,2021.0,5.0,14.0,61.56666666666667,24-9-2021 5
24.0,9.0,2021.0,6.0,14.0,62.85,24-9-2021 6
24.0,9.0,2021.0,7.0,14.95,57.016666666666666,24-9-2021 7
24.0,9.0,2021.0,8.0,17.383333333333333,46.7,24-9-2021 8
24.0,9.0,2021.0,9.0,20.05,38.7,24-9-2021 9
24.0,9.0,2021.0,10.0,23.15,31.2,24-9-2021 10
24.0,9.0,2021.0,11.0,25.766666666666666,25.483333333333334,24-9-2021 11
24.0,9.0,2021.0,12.0,28.066666666666666,20.9,24-9-2021 12
24.0,9.0,2021.0,13.0,29.416666666666668,18.066666666666666,24-9-2021 13
24.0,9.0,2021.0,14.0,29.566666666666666,21.316666666666666,24-9-2021 14
24.0,9.0,2021.0,15.0,26.529411764705884,34.35294117647059,24-9-2021 15
25.0,9.0,2021.0,19.0,19.0,65.0,25-9-2021 19
25.0,9.0,2021.0,20.0,18.7,64.03333333333333,25-9-2021 20
25.0,9.0,2021.0,21.0,18.0,64.41666666666667,25-9-2021 21
25.0,9.0,2021.0,22.0,18.0,64.96666666666667,25-9-2021 22
25.0,9.0,2021.0,23.0,18.0,66.55,25-9-2021 23
26.0,9.0,2021.0,0.0,17.283333333333335,68.68333333333334,26-9-2021 0
26.0,9.0,2021.0,1.0,17.0,71.35,26-9-2021 1
26.0,9.0,2021.0,2.0,17.0,73.66666666666667,26-9-2021 2
26.0,9.0,2021.0,3.0,17.0,74.65,26-9-2021 3
26.0,9.0,2021.0,4.0,17.0,75.9,26-9-2021 4
26.0,9.0,2021.0,5.0,16.05,77.88333333333334,26-9-2021 5
26.0,9.0,2021.0,6.0,16.316666666666666,76.71666666666667,26-9-2021 6
26.0,9.0,2021.0,7.0,17.783333333333335,69.48333333333333,26-9-2021 7
26.0,9.0,2021.0,8.0,20.183333333333334,56.266666666666666,26-9-2021 8
26.0,9.0,2021.0,9.0,23.116666666666667,44.583333333333336,26-9-2021 9
26.0,9.0,2021.0,10.0,26.2,37.083333333333336,26-9-2021 10
26.0,9.0,2021.0,11.0,28.583333333333332,29.183333333333334,26-9-2021 11
26.0,9.0,2021.0,12.0,30.583333333333332,21.733333333333334,26-9-2021 12
26.0,9.0,2021.0,13.0,31.933333333333334,19.216666666666665,26-9-2021 13
26.0,9.0,2021.0,14.0,27.5,32.05,26-9-2021 14
26.0,9.0,2021.0,15.0,25.883333333333333,29.333333333333332,26-9-2021 15
26.0,9.0,2021.0,16.0,25.483333333333334,34.9,26-9-2021 16
26.0,9.0,2021.0,17.0,24.25,38.85,26-9-2021 17
26.0,9.0,2021.0,18.0,23.116666666666667,37.166666666666664,26-9-2021 18
26.0,9.0,2021.0,19.0,22.55,36.15,26-9-2021 19
26.0,9.0,2021.0,20.0,22.0,34.75,26-9-2021 20
26.0,9.0,2021.0,21.0,22.0,37.06666666666667,26-9-2021 21
26.0,9.0,2021.0,22.0,21.05,39.666666666666664,26-9-2021 22
26.0,9.0,2021.0,23.0,21.0,42.18333333333333,26-9-2021 23
27.0,9.0,2021.0,0.0,20.266666666666666,44.93333333333333,27-9-2021 0
27.0,9.0,2021.0,1.0,20.0,46.93333333333333,27-9-2021 1
27.0,9.0,2021.0,2.0,19.933333333333334,49.53333333333333,27-9-2021 2
27.0,9.0,2021.0,3.0,19.0,52.7,27-9-2021 3
27.0,9.0,2021.0,4.0,19.0,55.233333333333334,27-9-2021 4
27.0,9.0,2021.0,5.0,19.0,57.416666666666664,27-9-2021 5
27.0,9.0,2021.0,6.0,19.0,57.516666666666666,27-9-2021 6
27.0,9.0,2021.0,7.0,20.15,51.78333333333333,27-9-2021 7
27.0,9.0,2021.0,8.0,22.766666666666666,42.333333333333336,27-9-2021 8
27.0,9.0,2021.0,9.0,25.5,33.8,27-9-2021 9
